Cultivated,Deciduous,Coniferous,Marshes,Peatbogs,Herbaceous,Water,Pixels,LocCode,River,Class,Built_up
0.0035220793274233155,0.5905283639239189,0.16384692221251093,0.09447704665584551,0.13048861697257252,0.013682523827360885,0.003033046156407375,192216,GO_10,GO,Catch,4.214009239605444e-4
NA,0.5578947368421052,0.17894736842105263,0.08421052631578947,0.17894736842105263,NA,NA,95,GO_11,GO,Catch,NA
0.020365315977325216,0.5184757505773672,0.3418013856812933,0.0572118412765064,0.058681503254251526,0.003359227377703128,1.0497585555322275e-4,9526,GO_12,GO,Catch,NA
0.009852216748768473,0.5763546798029556,0.09729064039408868,0.2376847290640394,0.059113300492610835,0.01847290640394089,0.0012315270935960591,812,GO_13,GO,Catch,NA
0.0018832391713747645,0.783427495291902,0.17476459510357814,0.03427495291902072,0.003766478342749529,0.0018832391713747645,NA,2655,GO_14,GO,Catch,NA
0.004311831666091756,0.5917557778544326,0.33114867195584685,0.02466367713004484,0.04467057606071059,0.002932045532942394,5.174197999310107e-4,5798,GO_15,GO,Catch,NA
0.007832898172323759,0.8537859007832899,0.015665796344647518,0.1227154046997389,NA,NA,NA,383,GO_16,GO,Catch,NA
0.03567065721964329,0.3997068165160029,0.46005375030539947,0.023943317859760567,0.08062545809919375,NA,NA,4093,GO_17,GO,Catch,NA
0.02071704594246458,0.34854014598540145,0.4390296264491198,0.04154143409188493,0.12473164448261057,0.023937312151137827,5.36711034778875e-4,9316,GO_18,GO,Catch,9.660798626019751e-4
0.0013089005235602095,0.7388743455497382,0.08704188481675393,0.047774869109947646,0.10078534031413612,0.02356020942408377,6.544502617801048e-4,1528,GO_19,GO,Catch,NA
0.0024048663177252795,0.7323242325647192,0.17589475173291838,0.025972556231433016,0.05627387183477154,0.006903380959117272,2.2634035931532042e-4,35345,GO_2,GO,Catch,NA
5.31632110579479e-4,0.3997873471557682,0.10366826156299841,0.3157894736842105,0.17756512493354598,0.002658160552897395,NA,1881,GO_20,GO,Catch,NA
0.0013089005235602095,0.5658813263525305,0.14921465968586387,0.1343804537521815,0.14354275741710296,0.005235602094240838,4.363001745200698e-4,2292,GO_21,GO,Catch,NA
0.002133206921071344,0.5874614837639252,0.08627636880777435,0.1772931974401517,0.11791893813699929,0.028916804930078217,NA,8438,GO_22,GO,Catch,NA
NA,0.1768355739400207,0.06170286108238538,0.483971044467425,0.26335746294381246,0.013788348845225784,3.447087211306446e-4,2901,GO_23,GO,Catch,NA
