LocCode,AS_Coniferous,AS_Deciduous,AS_Deadwood,AS_Mixed,AS_Meadow,River,Class,AS_Clearcut,AS_Shrub
GO_31,0.1663591299135976,0.6472130002969507,0.024689425864220432,0.16173844391710596,NA,GO,Catch,NA,NA
GO_32,0.015496227564333677,0.12767128934521754,0.017401937026062058,0.8386995291545335,7.310169106958655e-4,GO,Catch,NA,NA
GO_33,0.09976477058142158,0.7185879183869704,0.024349919645501077,0.15514178550401267,NA,GO,Catch,NA,NA
GO_34,0.023878445007897205,0.13632511121315735,0.017461608361118403,0.8213451114538884,7.023925458756287e-4,GO,Catch,2.457015401052488e-4,NA
GO_35,NA,0.9856636603262705,NA,0.006831897235518914,NA,GO,Catch,NA,NA
GO_36,0.044912502614347836,0.18150172725670968,NA,0.7471419608098252,NA,GO,Catch,0.019705933098649275,NA
GO_37,0.1777878019026529,0.41193790018783133,0.0562610881766347,0.31096290579910024,0.006853555185370301,GO,Catch,NA,0.025211288726575267
GO_38,0.09490138606644391,0.6605115158757502,0.017964295235695343,0.2139006937324951,0.005456223745520157,GO,Catch,NA,NA
GO_39,0.13418091277205577,0.5663187651570903,0.02804718170966093,0.23810104107281935,0.01530354959431307,GO,Catch,NA,0.00821800206633405
GO_4,0.09155482652661089,0.6884568605457545,0.018234162740128602,0.16798301745680153,0.0033662358755988603,GO,Catch,NA,NA
GO_40,0.024224784254825514,0.26130935179258696,0.012729349635997799,0.696414758077108,0.0012720343158628385,GO,Catch,1.4974844077017234e-4,NA
GO_41,0.06601186625075962,0.36398473851862034,0.007682799345101284,0.5520960734187917,0.001269449121585556,GO,Catch,NA,NA
GO_42,0.0935435543810439,0.5353798351657669,0.04044115181163724,0.3026135319416214,0.010307396171619463,GO,Catch,NA,0.0024581408951069444
GO_43,0.049674479651067124,0.08768888405988835,NA,0.768276575909071,0.08470734198916677,GO,Catch,NA,NA
GO_44,0.07018719584906372,0.41546300685963056,0.026060515125238975,0.4694870051939486,0.006195631561463275,GO,Catch,4.5185805084671735e-5,0.0012219077415358982
GO_45,7.584218602388081e-4,0.3030128146033886,NA,0.6874399355209325,NA,GO,Catch,NA,NA
GO_46,0.17228141528315413,0.4788267866119981,0.0030405405111526506,0.3407776057583534,0.0012879778378024954,GO,Catch,NA,NA
GO_47,0.18998362462568044,0.19218675646904615,0.002346575578825881,0.5793830681154627,0.01706522894021944,GO,Catch,0.006037702512382868,NA
GO_48,0.09287620223406291,0.3963727140103146,0.023048453756803245,0.4692133901945937,0.006020048717044528,GO,Catch,3.044797779528991e-4,0.0010228634015509018
GO_5,0.041400596825273354,0.6263075303186496,0.009120402052388805,0.23818891798866998,0.023679153792234425,GO,Catch,NA,NA
GO_6,0.021411493709810055,0.7361663798988405,0.010230390861715065,0.17964218432893583,0.004344860781480376,GO,Catch,NA,NA
GO_7,0.2381550320437214,0.4419265035692475,0.17062159721707865,0.10585516002839185,0.025919469858734893,GO,Catch,NA,NA
GO_8,0.0021537938337691173,0.18827361127307257,0.03590846818018417,0.7619238598156918,0.011740266894171226,GO,Catch,NA,NA
GO_9,0.11333840057450419,0.6080987920863881,0.06640516345569361,0.1652064642201687,0.014392972045811305,GO,Catch,NA,NA
